Rk,Player,Bats,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,
3,Corbin Carroll,Left,24,ARI,1.7,38,177,159,30,46,8,4,11,28,5,2,14,46,0.289,0.362,0.597,0.959,164,95,1,4,0,0,1,
20,Geraldo Perdomo,Both,25,ARI,2.1,38,167,133,19,39,8,0,5,30,9,0,26,18,0.293,0.4,0.466,0.866,142,62,1,1,2,5,0,
41,Josh Naylor,Left,28,ARI,0.5,37,159,138,19,41,9,0,4,23,6,2,17,19,0.297,0.373,0.449,0.823,130,62,7,1,0,2,1,
52,Eugenio Suárez,Right,33,ARI,0.4,38,154,135,21,27,6,0,10,23,1,0,14,41,0.2,0.292,0.467,0.759,109,63,2,4,0,1,1,
88,Lourdes Gurriel Jr.,Right,31,ARI,-0.2,35,146,136,13,29,8,0,6,20,1,0,5,19,0.213,0.24,0.404,0.644,77,55,1,1,0,4,0,
176,Pavin Smith,Left,29,ARI,0.8,35,112,89,18,25,9,0,4,9,1,0,23,34,0.281,0.429,0.517,0.945,164,46,5,0,0,0,0,
198,Alek Thomas,Left,25,ARI,0.1,31,105,98,10,28,7,2,0,13,3,2,4,23,0.286,0.324,0.398,0.722,101,39,2,2,0,1,0,
205,Gabriel Moreno,Right,25,ARI,-0.1,31,102,91,16,23,3,0,1,9,0,0,10,18,0.253,0.333,0.319,0.652,84,29,2,1,0,0,0,
257,Tim Tawa,Right,26,ARI,0.5,22,78,66,11,13,2,0,5,11,2,0,9,17,0.197,0.295,0.455,0.749,107,30,2,1,0,2,0,
320,Randal Grichuk,Right,33,ARI,-0.3,26,59,55,6,12,9,0,0,6,0,0,4,15,0.218,0.271,0.382,0.653,81,21,3,0,0,0,1,
332,Ketel Marte,Both,31,ARI,0,14,54,45,8,12,3,0,1,2,0,1,9,8,0.267,0.389,0.4,0.789,122,18,3,0,0,0,1,
343,José Herrera,Both,28,ARI,0.1,14,49,41,6,8,2,0,1,4,0,0,5,12,0.195,0.283,0.317,0.6,68,13,0,0,3,0,0,
351,Jake McCarthy,Left,27,ARI,-0.6,14,47,41,2,3,1,0,0,3,1,0,4,6,0.073,0.17,0.098,0.268,-22,4,0,1,0,1,0,
367,Garrett Hampson,Right,30,ARI,0.1,17,41,30,10,5,0,0,0,0,2,1,9,10,0.167,0.359,0.167,0.526,54,5,0,0,2,0,0,
433,Jorge Barrosa,Both,24,ARI,-0.1,5,16,15,1,3,2,0,0,4,0,0,0,5,0.2,0.188,0.333,0.521,43,5,0,0,0,1,0,
18,Brent Rooker,Right,30,ATH,0.4,38,168,153,25,38,7,1,9,19,2,1,13,43,0.248,0.315,0.484,0.799,123,74,3,2,0,0,0,
36,Lawrence Butler,Left,24,ATH,0.5,36,160,146,19,35,7,0,6,13,6,1,14,40,0.24,0.306,0.411,0.717,101,60,1,0,0,0,0,
39,Tyler Soderstrom,Left,23,ATH,1.2,38,160,145,24,42,6,0,9,25,2,0,13,35,0.29,0.35,0.517,0.867,142,75,6,1,0,1,0,
54,JJ Bleday,Left,27,ATH,0.1,37,153,132,24,29,9,0,4,15,1,1,20,32,0.22,0.32,0.379,0.699,98,50,2,0,0,1,1,
73,Jacob Wilson,Right,23,ATH,1.1,36,150,143,20,51,8,0,3,21,1,0,6,7,0.357,0.383,0.476,0.858,142,68,4,0,1,0,0,
125,Shea Langeliers,Right,27,ATH,0.5,32,134,120,15,27,4,0,7,17,1,0,12,19,0.225,0.291,0.433,0.724,102,52,3,0,0,2,1,
194,Miguel Andujar,Right,30,ATH,0.2,27,105,97,11,31,2,1,2,15,1,0,6,11,0.32,0.352,0.423,0.775,119,41,2,0,0,2,0,
226,Gio Urshela,Right,33,ATH,-0.5,28,95,88,3,20,9,1,0,12,0,0,5,15,0.227,0.269,0.352,0.621,75,31,2,0,2,0,0,
237,Luis Urías,Right,28,ATH,0.6,26,87,72,8,19,0,0,5,9,0,0,10,11,0.264,0.353,0.472,0.825,132,34,5,1,0,2,0,
281,Max Muncy,Right,22,ATH,-0.6,21,71,68,4,12,4,0,1,4,0,0,3,21,0.176,0.211,0.279,0.491,38,19,1,0,0,0,0,
344,Nick Kurtz,Left,22,ATH,-0.2,13,49,42,3,11,0,1,0,5,0,1,5,19,0.262,0.327,0.31,0.636,82,13,2,0,0,2,0,
348,Seth Brown,Left,32,ATH,-0.3,26,47,40,5,9,2,0,1,2,1,0,5,14,0.225,0.34,0.35,0.69,97,14,2,2,0,0,0,
394,Max Schuemann,Right,28,ATH,0.1,23,32,30,4,7,0,2,0,0,2,1,2,5,0.233,0.281,0.367,0.648,82,11,2,0,0,0,0,
399,Jhonny Pereda,Right,29,ATH,-0.1,10,29,27,0,5,1,0,0,1,0,0,2,9,0.185,0.241,0.222,0.464,33,6,0,0,0,0,0,
27,Austin Riley,Right,28,ATL,1.4,37,164,154,17,44,7,0,8,25,1,0,8,49,0.286,0.329,0.487,0.816,127,75,2,2,0,0,1,
33,Matt Olson,Left,31,ATL,1,37,161,131,19,30,5,0,6,20,0,0,28,33,0.229,0.366,0.405,0.771,117,53,7,1,0,1,0,
35,Ozzie Albies,Both,28,ATL,0.4,37,160,146,21,34,4,0,5,15,5,0,13,25,0.233,0.294,0.363,0.657,84,53,1,0,0,1,0,
56,Michael Harris II,Left,24,ATL,0.2,37,153,144,11,33,7,1,3,22,7,1,4,29,0.229,0.245,0.354,0.599,67,51,1,0,2,3,0,
76,Marcell Ozuna,Right,34,ATL,1.1,34,149,116,16,32,4,0,5,13,0,0,31,32,0.276,0.43,0.44,0.869,146,51,2,1,0,1,0,
212,Nick Allen,Right,26,ATL,0.5,30,100,93,8,23,4,0,0,7,5,2,5,25,0.247,0.3,0.29,0.59,67,27,1,2,0,0,0,
230,Sean Murphy,Right,30,ATL,0.8,22,91,80,11,18,2,0,7,14,0,0,8,30,0.225,0.319,0.513,0.831,130,41,2,3,0,0,0,
254,Alex Verdugo,Left,29,ATL,0,17,79,73,10,19,7,0,0,7,1,0,6,6,0.26,0.316,0.356,0.673,89,26,0,0,0,0,0,
272,Eli White,Right,31,ATL,0.7,29,75,69,16,21,6,2,2,9,3,1,5,18,0.304,0.351,0.536,0.888,146,37,0,0,1,0,1,
293,Drake Baldwin,Left,24,ATL,0.3,21,67,61,5,17,2,0,3,8,0,0,6,12,0.279,0.343,0.459,0.802,124,28,1,0,0,0,0,
300,Jarred Kelenic,Left,25,ATL,-0.6,23,65,60,7,10,2,0,2,2,0,1,5,23,0.167,0.231,0.3,0.531,48,18,1,0,0,0,0,
339,Bryan De La Cruz,Right,28,ATL,-0.3,16,50,47,1,9,1,0,0,0,1,0,3,18,0.191,0.24,0.213,0.453,29,10,1,0,0,0,0,
392,Orlando Arcia,Right,30,ATL,-0.1,12,32,31,1,6,1,0,0,1,0,0,1,8,0.194,0.219,0.226,0.445,26,7,0,0,0,0,0,
417,Stuart Fairchild,Right,29,ATL,-0.2,13,21,21,3,1,0,1,0,0,1,0,0,7,0.048,0.048,0.143,0.19,-49,3,1,0,0,0,0,
437,Jurickson Profar,Both,32,ATL,-0.3,4,16,15,2,3,0,0,0,0,0,0,1,3,0.2,0.25,0.2,0.45,29,3,0,0,0,0,0,
471,Eddie Rosario,Left,33,ATL,0,3,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,
479,Chadwick Tromp,Right,30,ATL,-0.1,2,6,5,0,0,0,0,0,0,0,0,1,2,0,0.167,0,0.167,-48,0,1,0,0,0,0,
103,Cedric Mullins,Left,30,BAL,0.9,34,140,118,18,28,5,0,7,21,5,1,20,30,0.237,0.357,0.458,0.815,137,54,1,2,0,0,0,
116,Adley Rutschman,Both,27,BAL,0.3,34,137,119,15,25,4,0,4,10,0,0,18,23,0.21,0.314,0.345,0.658,93,41,5,0,0,0,0,
148,Gunnar Henderson,Left,24,BAL,0.4,29,123,116,14,29,7,1,3,5,3,0,7,33,0.25,0.293,0.405,0.698,102,47,3,0,0,0,1,
149,Ryan Mountcastle,Right,28,BAL,0.1,35,123,115,13,24,7,0,2,11,0,0,5,31,0.209,0.244,0.322,0.566,65,37,4,1,0,2,0,
180,Jackson Holliday,Left,21,BAL,0.2,31,110,100,12,26,1,1,4,11,2,3,8,26,0.26,0.327,0.41,0.737,115,41,2,2,0,0,0,
191,Ryan O'Hearn,Left,31,BAL,0.9,28,107,95,14,29,4,0,7,14,1,1,10,15,0.305,0.383,0.568,0.952,175,54,2,2,0,0,0,
213,Heston Kjerstad,Left,26,BAL,-0.7,33,100,94,10,20,3,0,3,13,1,0,2,31,0.213,0.25,0.34,0.59,71,32,4,3,0,1,0,
220,Jordan Westburg,Right,26,BAL,0.1,23,98,92,12,20,2,1,4,6,0,1,5,22,0.217,0.265,0.391,0.657,90,36,1,1,0,0,0,
248,Ramón Urías,Right,31,BAL,0.6,22,82,72,5,21,2,0,2,9,0,0,8,16,0.292,0.354,0.403,0.756,122,29,2,0,0,2,0,
273,Tyler O'Neill,Right,30,BAL,0.3,18,74,65,8,14,3,1,2,10,0,0,5,21,0.215,0.284,0.385,0.668,94,25,1,2,0,2,0,
294,Ramón Laureano,Right,30,BAL,0.7,26,67,61,7,13,5,0,4,7,1,0,5,19,0.213,0.269,0.492,0.76,117,30,3,0,0,1,0,
387,Gary Sánchez,Right,32,BAL,-0.4,12,35,30,1,3,0,0,0,4,0,0,1,12,0.1,0.2,0.1,0.3,-8,3,0,3,0,1,0,
401,Jorge Mateo,Right,30,BAL,-0.4,16,28,28,1,4,2,0,0,0,5,1,0,10,0.143,0.143,0.214,0.357,3,6,1,0,0,0,0,
427,Colton Cowser,Left,25,BAL,0,4,18,16,2,2,0,0,1,1,0,0,1,6,0.125,0.222,0.313,0.535,55,5,0,1,0,0,0,
429,Dylan Carlson,Both,26,BAL,-0.2,10,17,15,1,0,0,0,0,2,0,0,1,8,0,0.059,0,0.059,-81,0,0,0,0,1,0,
438,Emmanuel Rivera,Right,29,BAL,0.2,5,16,15,1,6,2,0,0,2,0,0,1,4,0.4,0.438,0.533,0.971,184,8,0,0,0,0,0,
446,Coby Mayo,Right,23,BAL,-0.4,4,13,12,0,1,0,0,0,0,0,0,1,6,0.083,0.154,0.083,0.237,-28,1,0,0,0,0,0,
469,Maverick Handley,Right,27,BAL,0,3,8,7,0,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,19,1,0,1,0,0,0,
2,Jarren Duran,Left,28,BOS,0.2,38,180,166,19,43,9,4,2,20,11,3,10,35,0.259,0.311,0.398,0.709,98,66,1,3,0,1,0,
4,Rafael Devers,Left,28,BOS,1,39,177,145,23,37,11,0,6,25,1,0,29,46,0.255,0.379,0.455,0.834,133,66,2,1,0,2,2,
7,Alex Bregman,Right,31,BOS,2.3,38,171,151,28,48,15,0,9,30,1,1,15,31,0.318,0.392,0.596,0.988,173,90,2,4,0,1,1,
48,Trevor Story,Right,32,BOS,0.5,37,155,146,18,37,2,0,5,16,8,0,7,46,0.253,0.297,0.37,0.667,86,54,0,2,0,0,0,
95,Wilyer Abreu,Left,26,BOS,2.1,37,144,123,22,35,7,0,9,25,4,0,21,30,0.285,0.389,0.561,0.95,163,69,2,0,0,0,4,
106,Kristian Campbell,Right,23,BOS,0.6,33,139,119,18,33,8,0,4,13,2,1,19,35,0.277,0.374,0.445,0.819,130,53,0,0,0,1,0,
145,Ceddanne Rafaela,Right,24,BOS,1.4,34,125,113,19,27,4,1,2,15,7,0,8,22,0.239,0.298,0.345,0.644,81,39,0,2,1,1,0,
170,Triston Casas,Left,25,BOS,-0.9,29,112,99,5,18,3,0,3,11,0,0,11,27,0.182,0.277,0.303,0.58,63,30,3,2,0,0,2,
221,Carlos Narváez,Right,26,BOS,0.7,26,97,90,12,20,5,0,3,11,0,1,7,24,0.222,0.278,0.378,0.656,83,34,2,0,0,0,0,
322,Romy González,Right,28,BOS,0.5,17,58,52,10,16,6,0,0,6,3,1,4,12,0.308,0.362,0.423,0.785,120,22,1,1,0,1,0,
349,David Hamilton,Left,27,BOS,-0.1,17,47,44,6,7,1,0,1,3,5,0,2,12,0.159,0.196,0.25,0.446,24,11,0,0,1,0,0,
371,Rob Refsnyder,Right,34,BOS,0.4,13,40,37,6,12,3,0,2,5,2,0,2,11,0.324,0.35,0.568,0.918,153,21,2,0,0,1,0,
382,Connor Wong,Right,29,BOS,0,12,38,34,3,5,0,0,0,0,1,0,3,9,0.147,0.237,0.147,0.384,11,5,2,1,0,0,0,
428,Blake Sabol,Left,27,BOS,-0.2,8,18,16,2,2,1,0,0,1,0,0,1,7,0.125,0.167,0.188,0.354,0,3,1,0,0,1,0,
464,Abraham Toro,Both,28,BOS,-0.3,4,9,9,0,1,0,0,0,0,0,0,0,1,0.111,0.111,0.111,0.222,-37,1,0,0,0,0,0,
425,Nicky Lopez,Left,30,CHC,-0.3,11,19,17,2,1,0,0,0,1,0,0,2,3,0.059,0.158,0.059,0.217,-35,1,1,0,0,0,0,
1,Ian Happ,Both,30,CHC,1,38,183,157,29,43,9,0,3,19,2,1,23,34,0.274,0.366,0.389,0.755,116,61,3,1,0,2,0,
5,Kyle Tucker,Left,28,CHC,1.6,38,177,148,30,42,8,2,9,31,10,0,28,20,0.284,0.395,0.547,0.943,166,81,3,0,0,1,3,
34,Dansby Swanson,Right,31,CHC,1.1,38,161,148,27,35,7,1,7,20,4,0,11,45,0.236,0.288,0.439,0.727,104,65,1,0,1,1,0,
45,Pete Crow-Armstrong,Left,23,CHC,2.3,38,158,147,29,39,11,1,9,27,12,2,7,34,0.265,0.303,0.537,0.841,134,79,0,1,3,0,0,
59,Seiya Suzuki,Right,30,CHC,0.6,34,153,139,20,35,6,2,9,31,1,1,13,45,0.252,0.314,0.518,0.832,133,72,4,0,0,1,0,
89,Nico Hoerner,Right,28,CHC,1,34,146,135,17,38,7,1,0,15,7,2,8,12,0.281,0.322,0.348,0.67,91,47,0,1,0,2,0,
112,Michael Busch,Left,27,CHC,1,36,138,120,16,30,7,1,6,22,2,0,15,35,0.25,0.348,0.475,0.823,132,57,1,3,0,0,0,
239,Carson Kelly,Right,30,CHC,1.7,22,86,66,17,23,2,1,8,23,0,0,18,9,0.348,0.488,0.773,1.261,253,51,2,1,0,1,0,
265,Miguel Amaya,Right,26,CHC,0.6,20,75,70,10,18,6,0,3,16,0,0,2,17,0.257,0.284,0.471,0.755,111,33,0,1,1,1,0,
290,Matt Shaw,Right,23,CHC,0,18,68,58,11,10,1,0,1,3,0,0,10,18,0.172,0.294,0.241,0.535,55,14,0,0,0,0,0,
299,Jon Berti,Right,35,CHC,0.3,24,65,59,10,16,2,0,0,2,7,1,4,12,0.271,0.338,0.305,0.644,86,18,1,2,0,0,0,
307,Justin Turner,Right,40,CHC,-0.4,22,63,53,4,9,0,0,0,7,1,0,7,15,0.17,0.27,0.17,0.44,29,9,1,1,0,2,0,
425,Nicky Lopez,Left,30,CHC,-0.1,7,13,11,2,1,0,0,0,1,0,0,2,2,0.091,0.231,0.091,0.322,-4,1,1,0,0,0,0,
432,Gage Workman,Left,25,CHC,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,0.214,0.267,0.286,0.552,58,4,0,0,0,0,0,
460,Vidal Bruján,Both,27,CHC,-0.2,11,9,9,1,2,1,0,0,0,1,1,0,2,0.222,0.222,0.333,0.556,56,3,0,0,0,0,0,
71,Miguel Vargas,Right,25,CHW,0.6,37,150,132,15,29,8,0,2,12,1,0,16,30,0.22,0.313,0.326,0.639,85,43,0,2,0,0,0,
81,Luis Robert Jr.,Right,27,CHW,0.6,36,148,125,19,24,3,0,5,16,15,5,20,46,0.192,0.301,0.336,0.637,84,42,3,0,0,1,1,
83,Andrew Vaughn,Right,27,CHW,-1.1,36,148,140,7,26,6,0,3,14,0,0,7,35,0.186,0.223,0.293,0.516,47,41,3,0,0,1,0,
127,Lenyn Sosa,Right,25,CHW,-0.1,37,134,129,10,32,5,0,2,10,0,0,4,32,0.248,0.271,0.333,0.604,73,43,3,0,1,0,0,
167,Brooks Baldwin,Both,24,CHW,-0.5,35,115,107,6,26,5,0,3,15,2,0,5,31,0.243,0.274,0.374,0.648,85,40,4,0,2,1,0,
225,Andrew Benintendi,Left,30,CHW,0.4,24,95,85,13,19,0,0,5,12,0,0,8,17,0.224,0.298,0.4,0.698,99,34,1,1,0,0,0,
258,Michael A. Taylor,Right,34,CHW,-0.1,32,78,73,9,14,5,1,1,6,3,0,5,24,0.192,0.244,0.329,0.572,63,24,1,0,0,0,0,
259,Matt Thaiss,Left,30,CHW,0.8,25,78,60,8,14,4,0,1,7,0,1,16,13,0.233,0.397,0.35,0.747,118,21,2,1,0,1,0,
286,Joshua Palacios,Left,29,CHW,-0.5,26,69,59,5,11,0,0,1,4,0,0,7,19,0.186,0.304,0.237,0.542,59,14,0,3,0,0,0,
289,Edgar Quero,Both,22,CHW,0.7,19,68,58,6,17,3,0,0,8,0,0,8,11,0.293,0.397,0.345,0.742,117,20,1,2,0,0,0,
305,Nick Maton,Left,28,CHW,-0.1,25,63,54,5,9,2,0,2,4,0,1,9,19,0.167,0.286,0.315,0.601,73,17,0,0,0,0,0,
312,Chase Meidroth,Right,23,CHW,0.5,17,62,53,9,13,1,0,0,2,3,0,9,9,0.245,0.355,0.264,0.619,82,14,2,0,0,0,0,
313,Jacob Amaya,Right,26,CHW,-1,29,61,55,6,5,1,0,0,6,2,0,2,14,0.091,0.117,0.109,0.226,-34,6,1,0,1,3,0,
390,Travis Jankowski,Left,34,CHW,-0.2,7,15,14,1,3,0,0,0,0,0,0,1,3,0.214,0.267,0.214,0.481,41,3,0,0,0,0,0,
416,Bobby Dalbec,Right,30,CHW,0,7,21,18,2,4,1,0,0,1,0,0,3,6,0.222,0.333,0.278,0.611,79,5,1,0,0,0,0,
423,Austin Slater,Right,32,CHW,0,8,20,20,2,5,2,0,1,1,0,0,0,5,0.25,0.25,0.5,0.75,110,10,0,0,0,0,0,
430,Korey Lee,Right,26,CHW,0.2,9,17,15,3,5,2,0,0,1,0,0,2,3,0.333,0.412,0.467,0.878,153,7,0,0,0,0,0,
432,Gage Workman,Left,25,CHW,-0.1,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,
448,Josh Rojas,Left,31,CHW,0.3,4,12,10,0,3,0,0,0,2,1,0,2,3,0.3,0.417,0.3,0.717,112,3,0,0,0,0,0,
449,Mike Tauchman,Left,34,CHW,0.2,3,12,10,1,4,0,0,0,0,0,0,2,2,0.4,0.5,0.4,0.9,164,4,0,0,0,0,0,
457,Omar Narváez,Left,33,CHW,0.1,4,10,7,1,2,0,0,0,3,0,0,2,1,0.286,0.4,0.286,0.686,102,2,0,0,0,1,0,
8,Elly De La Cruz,Both,23,CIN,0.8,39,171,151,25,39,5,0,5,25,14,4,17,48,0.258,0.339,0.391,0.73,100,59,0,2,0,1,2,
22,TJ Friedl,Left,29,CIN,0.6,36,166,147,20,40,6,1,3,16,8,2,15,26,0.272,0.339,0.388,0.727,100,57,3,1,1,2,0,
108,Gavin Lux,Left,27,CIN,0.3,35,139,121,15,36,9,1,1,16,1,0,18,31,0.298,0.388,0.413,0.802,121,50,0,0,0,0,0,
123,Spencer Steer,Right,27,CIN,-0.3,32,135,123,18,23,4,0,3,11,2,0,11,32,0.187,0.259,0.293,0.552,52,36,4,1,0,0,0,
134,Matt McLain,Right,25,CIN,0.2,30,131,112,17,19,1,0,4,12,9,0,17,41,0.17,0.29,0.286,0.576,59,32,2,2,0,0,0,
202,Santiago Espinal,Right,30,CIN,0.3,30,103,95,8,30,5,0,0,9,0,1,8,9,0.316,0.369,0.368,0.737,104,35,2,0,0,0,0,
228,Jeimer Candelario,Both,31,CIN,-0.9,22,91,80,3,9,2,0,2,10,0,1,9,29,0.113,0.198,0.213,0.41,13,17,1,0,0,2,0,
229,Jake Fraley,Left,30,CIN,0.2,28,91,78,12,16,3,0,3,9,3,2,13,16,0.205,0.319,0.359,0.678,86,28,0,0,0,0,0,
